"province","country","loss","sigmoidSpaceLag","realDaysLag","fatalityRate","key"
"","Bhutan",3.56968044820549e-45,1.34993082801049,11.9928124746618,0.039911165924709,"Bhutan"
"","Bolivia",0.00287152575305141,1.62312413237607,7.37211781368697,0.144465923214122,"Bolivia"
"","Bosnia_and_Herzegovina",0.000575642532482226,1.75662643888187,8.32673078293837,0.0948370465202841,"Bosnia_and_Herzegovina"
"","Brazil",0.000294583198037797,2.84214876944427,15.8961011195678,0.469688434829359,"Brazil"
"British_Columbia","Canada",0.00097054087435125,0.611078315425239,3.08779094941004,0.0328856429181747,"British_Columbia@Canada"
"","Brunei",0.000945564930223629,2.73615295713772,11.3237796968921,0.00979953918886635,"Brunei"
"","Bulgaria",0.00109898034327634,2.29724681065355,12.3849170055954,0.0917820565405758,"Bulgaria"
"","Burkina_Faso",0.00137741265743789,0.214145055114494,0.891414982428395,0.0532553658954612,"Burkina_Faso"
"","Cabo_Verde",0.016872119928987,1.34993082801049,3.72236136197421,0.039911165924709,"Cabo_Verde"
"California","US",0.00020790852216797,0.49177208134353,2.26967224462022,0.02887583047529,"California@US"
"","Cambodia",1.08694441520489e-54,1.34993082801049,3.23896598170277,0.039911165924709,"Cambodia"
"","Cameroon",0.000391442389981781,1.34993082801049,4.82960432558662,0.039911165924709,"Cameroon"
"Cayman_Islands","United_Kingdom",0.00179136942705059,1.34993082801049,6.19344754071061,0.039911165924709,"Cayman_Islands@United_Kingdom"
"","Central_African_Republic",3.4008665375328e-47,1.34993082801049,13.2412325541983,0.039911165924709,"Central_African_Republic"
"","Chad",1.24928891004876e-46,1.34993082801049,6.5517097329488,0.039911165924709,"Chad"
"Channel_Islands","United_Kingdom",0.000368237547598763,0.905751531108873,4.09081048672566,0.0337816993422134,"Channel_Islands@United_Kingdom"
"","Chile",8.08888056083045e-05,2.19412786802308,9.80145881133768,0.0229657316407887,"Chile"
"Chongqing","China",0.000560003969803494,1.51836423154099,6.55677199979846,0.0104187951347138,"Chongqing@China"
"","Colombia",0.000300041237336559,2.88186217974912,14.3183420371796,0.153611916734833,"Colombia"
"Colorado","US",0.00047859704066862,1.31051933662779,6.24935561383665,0.0593481424611508,"Colorado@US"
"","Congo_(Brazzaville)",0.00283423556520713,1.34993082801049,6.75506331288031,0.039911165924709,"Congo_(Brazzaville)"
"","Congo_(Kinshasa)",0.00268444321680504,0.774820541658009,3.60590710082108,0.14347435107625,"Congo_(Kinshasa)"
"Connecticut","US",0.000551785693266824,1.18194050850909,4.65092171769716,0.0636568103103506,"Connecticut@US"
"","Costa_Rica",0.000478262799732776,1.34993082801049,5.55588061036455,0.039911165924709,"Costa_Rica"
"","Cote_d'Ivoire",0.000460847427581225,3.50795189815487,15.2472322424365,0.0708367313955891,"Cote_d'Ivoire"
"","Croatia",0.000412446269938707,2.29407635086495,9.17505513184856,0.0231624990724674,"Croatia"
"","Cuba",0.000745503981491626,0.0702733346597971,0.283725496662206,0.0259114947408291,"Cuba"
"Curacao","Netherlands",0.0106085301410571,1.34993082801049,6.09453135928814,0.039911165924709,"Curacao@Netherlands"
"","Cyprus",0.000937820667642912,1.34993082801049,8.1597675842373,0.039911165924709,"Cyprus"
"","Czechia",0.000305106721373062,2.56261719968338,12.1860315079748,0.0451349965898877,"Czechia"
"Delaware","US",0.000130905306075067,1.34993082801049,8.04363708489604,0.039911165924709,"Delaware@US"
"","Denmark",0.000682464014789552,1.34993082801049,12.4802508977631,0.039911165924709,"Denmark"
