"Province","Country","R0","Beta","Gamma","FirstDayNum","FirstDayInfectedCount","EstimatedSusceptiblePopulation","PopFactor","TotalPopulation","PeakDayNum","PeakInfectionValue","Loss"
"","Albania",7.479816,0.1379513,0.01844315,73,27,2877000,1,2877000,186,1718388,2.256957
"","Algeria",4.0353,0.2859401,0.07085968,57,1,41319820,0.9999956,41320000,147,16794930,8.924411
"Anhui","China",5.789918,0.3440736,0.05942633,23,18,1085.156,1.823776e-05,59500509,42,585.6114,112.2763
"","Argentina",10.98311,0.3223753,0.02935192,70,9,858.8726,1.940078e-05,44270000,94,602.135,7.502957
"","Austria",106.4812,0.2554849,0.002399342,59,15,13240.3,0.001500827,8822000,105,12549.46,35.22658
"","Bahrain",3.470084,0.1876023,0.05406275,58,21,593.748,0.0003976879,1493000,88,230.3904,10.63422
"Beijing","China",0.6990697,0.03017221,0.04316052,31,245,21709990,1,21709986,31,244.8182,39.17105
"","Belarus",10.15865,0.4014452,0.03951757,64,1,90.78223,9.547984e-06,9508000,84,61.63012,2.025911
"","Belgium",10.26462,0.2435637,0.02372847,40,1,13268.19,0.001163876,11400000,98,8962.621,60.00395
"","Brazil",65.23283,0.3840032,0.005886655,68,8,4194.714,2.004163e-05,209300000,95,3869.29,13.69491
"","Chile",68.45914,0.2929329,0.004278945,68,14,2578.01,0.0001428261,18050000,101,2395.152,7.306069
